acai #7B3F64
advocat #FFEF00
almond #EFDECD
almonds #EFDECD
amaranth #E52B50
apple #8DB600
apples #8DB600
apricot #FBCEB1
arctic #C9FFE5
asion #F0FFFF
attack #FF6600
balls #FF7518
banana #FFD700
banana-yogurt #FFFACD
banoffee #FFE135
barbecue #8A3324
basil #3D9970
batch #E52B50
batter #FFE135
beach #F7E7CE
bean #6E5160
beef #A52A2A
beer #F28E1C
belgian #FA6E79
berries #8F008F
berry #8F008F
berry-vanilla #8F008F
birthday #FFD700
biscuit #E3A869
bisquit #E3A869
black #000000
blackberry #4D4DFF
blackcurrant #322F6B
blast #8A2BE2
bliss #F0DC82
blood #8A0303
blow #00BFFF
blue #0000FF
blueberries #0000FF
blueberry #0000FF
bombsicle #87CEFA
bonbon #FF69B4
bounty #6B8E23
bourbon #BA7F03
breeze #89CFF0
breezer #89CFF0
brittle #A0522D
bros #FF8C00
brownie #6B4423
brulee #FADA5E
bubble #E7FEFF
bubblegum #FFC1CC
buckwheat #6E7F80
bun #FFD700
burst #D4AF37
buter #E5B73B
butter #E5B73B
cactus #5B6F55
caesar #8A795D
cafe #6F4E37
caffe #6F4E37
caffeine #6F4E37
cake #FFD700
candy #FF69B4
cappuccino #6F4E37
capuccino #6F4E37
caramel #FFA07A
caramel-capuccino #6F4E37
caribbean #00BFFF
carnival #F88379
cashew #A8A878
cashews #A8A878
cereal #FAFAF8
cervena #CB6D51
cheddar #FFA500
cheese #FFA500
cheesecake #FFA07A
cherry #DE3163
cherry-raspberry #DE3163
chestnut #954535
chicken #D2691E
chili #FF4500
chip #7B3F00
chips #7B3F00
choco #7B3F00
choco-nut #7B3F00
chocolate #7B3F00
chocolate-raspberry #7B3F00
chocо #7B3F00
chocоlate #7B3F00
cinnamon #D2691E
citrus #7F3E00
clydes #08457E
coca #F400A1
cocoa #6F4E37
cococcino #6F4E37
coconut #965A3E
coffee #6F4E37
cola #6F4E37
colada #6F4E37
cold #00FFFF
cookie #A52A2A
cookies #A52A2A
cooler #00BFFF
cosmic #4B0082
cosmopolitan #F08080
cotta #D2B48C
cotton #FFFFFF
cranbeery #DC143C
cranberries #DC143C
cranberry #DC143C
crazy #FF4500
cream #FFFDD0
creamy #FFF8DC
creme #FFF8DC
crime #8B0000
crisp #7FFF00
crispies #7FFF00
crispy #7FFF00
crunch #DAA520
crunchy #DAA520
crush #FF4500
crème #FFF8DC
cucumber #228B22
cup #FFD700
cupcake #FFD700
currant #8A2BE2
curry #FFD700
custard #FFF8DC
cyclone #4682B4
dark #2F4F4F
delicious #FFA500
delight #FFD700
deluxe #FFD700
double #D2691E
dough #D2691E
dragon #8B4513
dream #87CEEB
drink #87CEEB
dutch #FFD700
egg #FFD700
eggnog #FFD700
elder #8A2BE2
energy #FFD700
espresso #4B0082
exotic #FF4500
explosion #FFD700
extreme #FFD700
fantasy #FFD700
fiber #FFD700
fig #FFD700
flavor #FFD700
forest #228B22
frappe #FFD700
freeze #87CEEB
french #FFD700
fresh #00FF00
frost #00FFFF
frozen #00BFFF
fruit #FFD700
fruits #FFD700
fruity #FFD700
frutti #FFD700
fudge #A52A2A
furious #FF4500
fusion #FFD700
garlic #FFD700
georgia #FFD700
giant #FFD700
ginger #FFD700
gingerbread #D2691E
goji #FF4500
gooseberry #FFD700
gourmet #FFD700
grain #FFD700
grape #800080
grapefruit #FFD700
grapes #800080
green #008000
grenadine #FF4500
